0.579254,0.028626,0.023486,0.017789,0.249398,0.021272,0.021753
0.596201,0.029032,0.023307,0.017728,0.249397,0.021257,0.023151
0.603049,0.026650,0.024859,0.054730,0.234267,0.068806,0.052404
0.604255,0.028228,0.020224,0.054766,0.319901,0.068742,0.053615
0.581200,0.029256,0.023151,0.017725,0.245605,0.021262,0.022850
0.607875,0.026649,0.023244,0.054541,0.233465,0.068941,0.054230
0.619521,0.028394,0.019764,0.054731,0.271974,0.068723,0.067435
0.585806,0.027089,0.024066,0.017738,0.245327,0.021258,0.040745
0.619607,0.028593,0.021060,0.054712,0.269641,0.068823,0.046588
0.589124,0.027790,0.025059,0.017736,0.245226,0.021255,0.022554
0.593714,0.026694,0.023101,0.054603,0.233821,0.068789,0.029753
0.585118,0.028443,0.020319,0.054748,0.330997,0.068746,0.195950
0.580007,0.027967,0.028699,0.017873,0.245064,0.021256,0.360912
0.604274,0.027837,0.024477,0.054999,0.264684,0.068754,0.281358
0.568844,0.026624,0.023169,0.055012,0.213987,0.068733,0.408978
0.585395,0.029770,0.022549,0.017729,0.251795,0.021267,0.023263
0.597089,0.029542,0.019854,0.054754,0.268443,0.068737,0.074200
0.647967,0.029236,0.025390,0.054874,0.214373,0.068734,0.102489
0.561517,0.027427,0.023582,0.054906,0.215363,0.068755,0.024997
0.611656,0.027999,0.021076,0.054703,0.273665,0.068764,0.035352
